exposure,characteristic,statistic,n_unexposed,value_unexposed,aux_unexposed,n_exposed,value_exposed,aux_exposed
lonely,age,mean_sd,10016,58.699879,9.4633532,4189,60.536404,9.9767361
lonely,log_income,mean_sd,10016,9.0016766,2.1921563,4189,8.6197758,2.3651886
lonely,log_totmet1,mean_sd,10016,8.1487637,1.8661748,4189,8.036931,2.0555711
lonely,bmi,mean_sd,10016,23.438391,3.5440142,4189,22.9653,3.5588126
lonely,event_t2dm,proportion,10016,.086162142,,4189,.10312724,
lonely,male,proportion,10016,.50998402,,4189,.40964431,
lonely,han,proportion,10016,.75019968,,4189,.69706374,
lonely,hypert_bl,proportion,10016,.23322684,,4189,.26283121,
lonely,heart_bl,proportion,10016,.099640578,,4189,.14561948,
lonely,dyslip_bl,proportion,10016,.082867414,,4189,.081642397,
lonely,stroke_bl,proportion,10016,.01946885,,4189,.031749822,
lonely,edu_num=0,proportion,10016,.420627,,4189,.55216044,
lonely,edu_num=1,proportion,10016,.21445687,,4189,.20386727,
lonely,edu_num=2,proportion,10016,.22673722,,4189,.16280735,
lonely,edu_num=3,proportion,10016,.13817891,,4189,.081164956,
isolated,age,mean_sd,12276,58.304497,9.0992613,1929,65.204254,10.875081
isolated,log_income,mean_sd,12276,9.0102978,2.1249406,1929,8.1174793,2.8107195
isolated,log_totmet1,mean_sd,12276,8.1566181,1.8692467,1929,7.8559256,2.2279956
isolated,bmi,mean_sd,12276,23.429823,3.5358334,1929,22.465557,3.5631495
isolated,event_t2dm,proportion,12276,.091397852,,1929,.089683771,
isolated,male,proportion,12276,.49201694,,1929,.40642819,
isolated,han,proportion,12276,.74812645,,1929,.64800417,
isolated,hypert_bl,proportion,12276,.2374552,,1929,.27060652,
isolated,heart_bl,proportion,12276,.11119257,,1929,.125972,
isolated,dyslip_bl,proportion,12276,.085777126,,1929,.061689995,
isolated,stroke_bl,proportion,12276,.022075595,,1929,.02954899,
isolated,edu_num=0,proportion,12276,.43173671,,1929,.63556248,
isolated,edu_num=1,proportion,12276,.21749756,,1929,.1721099,
isolated,edu_num=2,proportion,12276,.2196155,,1929,.13322966,
isolated,edu_num=3,proportion,12276,.13115022,,1929,.059097979,
